model internalized from file ok
model is updating
1 updates took 0 s
DIC already monitored
model is updating
30000 updates took 661 s
CODA files written
Summary statistics
		mean	sd	val2.5pc	median	val97.5pc	sample
	a[1]	0.7473	0.0187	0.7099	0.7473	0.7844	30000
	a[2]	0.5962	0.01673	0.5629	0.596	0.6297	30000
	a[3]	0.5247	0.01691	0.4909	0.5245	0.5591	30000
	a[4]	0.6142	0.02156	0.5717	0.6142	0.6574	30000
	a[5]	0.8023	0.01176	0.7784	0.8022	0.8265	30000
	a[6]	0.5388	0.01719	0.5047	0.5389	0.5736	30000
	a[7]	0.5223	0.02398	0.4741	0.5223	0.5702	30000
	a[8]	0.5193	0.01261	0.4937	0.5195	0.5445	30000
	a[9]	0.3842	0.03465	0.3155	0.3841	0.4528	30000
	a[10]	0.5987	0.01859	0.5618	0.5987	0.6355	30000
	a[11]	-0.05139	0.01899	-0.08841	-0.05173	-0.01233	30000
	a[12]	0.5207	0.02669	0.4699	0.5195	0.576	30000
	a[13]	0.3038	0.02164	0.2614	0.3036	0.3472	30000
	a[14]	0.3275	0.03632	0.2561	0.3277	0.3994	30000
	a[15]	-0.03244	0.01311	-0.05872	-0.03244	-0.005982	30000
	a[16]	0.5692	0.01585	0.5375	0.5689	0.6019	30000
	a[17]	0.3276	0.01959	0.2886	0.3275	0.3669	30000
	a[18]	0.591	0.01488	0.5608	0.5909	0.6209	30000
	a[19]	0.3578	0.02333	0.3125	0.3576	0.4051	30000
	a[20]	0.389	0.02479	0.3394	0.3889	0.4387	30000
	b[1]	0.04288	0.01986	0.003553	0.04285	0.08237	30000
	b[2]	-2.706E-4	0.01756	-0.03492	-4.059E-4	0.035	30000
	b[3]	-0.02117	0.01785	-0.05698	-0.02116	0.01461	30000
	b[4]	0.01839	0.02269	-0.02669	0.01818	0.06367	30000
	b[5]	0.02	0.01266	-0.005812	0.01999	0.04545	30000
	b[6]	0.06792	0.0181	0.03209	0.06783	0.1043	30000
	b[7]	0.04802	0.02477	-6.559E-4	0.04789	0.09782	30000
	b[8]	0.06576	0.01356	0.03836	0.0658	0.09297	30000
	b[9]	0.1701	0.03559	0.1006	0.1701	0.2407	30000
	b[10]	0.04194	0.01929	0.003086	0.042	0.08007	30000
	b[11]	0.008944	0.02216	-0.03584	0.009235	0.05251	30000
	b[12]	0.04719	0.02864	-0.01042	0.04739	0.1041	30000
	b[13]	0.02907	0.02355	-0.01867	0.02918	0.07513	30000
